Tweet,Date
".@HowieCarrShow just wrote a book which everyone is talking about. He was a great help. He is a veteran journalist who had a great influence in NH and beyond. He calls it the most amazing political campaign of modern times. The book is called, â€œWhat Really Happened.â€ù Enjoy! #MAGA","1h1 hour ago"
"â€œPresident Donald J. Trump Proclaims March 25, 2018, as Greek Independence Day: A National Day of Celebration of Greek and American Democracyâ€ù https://www.whitehouse.gov/presidential-actions/president-donald-j-trump-proclaims-march-25-2018-greek-independence-day-national-day-celebration-greek-american-democracy/ â€_","15h15 hours ago"
Happy National #MedalOfHonorDay to our HEROES. We love you!,"15h15 hours ago"
"....lawyer or law firm will take months to get up to speed (if for no other reason than they can bill more), which is unfair to our great country - and I am very happy with my existing team. Besides, there was NO COLLUSION with Russia, except by Crooked Hillary and the Dems!","17h17 hours ago"
"Many lawyers and top law firms want to represent me in the Russia case...donâ€™t believe the Fake News narrative that it is hard to find a lawyer who wants to take this on. Fame & fortune will NEVER be turned down by a lawyer, though some are conflicted. Problem is that a new......","17h17 hours ago"
"Much can be done with the $1.6 Billion given to building and fixing the border wall. It is just a down payment. Work will start immediately. The rest of the money will come - and remember DACA, the Democrats abandoned you (but we will not)!","18h18 hours ago"
"Because of the $700 & $716 Billion Dollars gotten to rebuild our Military, many jobs are created and our Military is again rich. Building a great Border Wall, with drugs (poison) and enemy combatants pouring into our Country, is all about National Defense. Build WALL through M!","18h18 hours ago"
"France honors a great hero. Officer died after bravely swapping places with hostage in ISIS related terror attack. So much bravery around the world constantly fighting radical Islamic terrorism. Even stronger measures needed, especially at borders!","18h18 hours ago"
"Our thoughts and prayers are with the victims of the horrible attack in France yesterday, and we grieve the nationâ€™s loss. We also condemn the violent actions of the attacker and anyone who would provide him support. We are with you @EmmanuelMacron!",24-Mar
"As a matter of National Security I've signed the Omnibus Spending Bill. I say to Congress: I will NEVER sign another bill like this again. To prevent this omnibus situation from ever happening again, I'm calling on Congress to give me a line-item veto for all govt spending bills!",23-Mar
"Obama Administration legalized bump stocks. BAD IDEA. As I promised, today the Department of Justice will issue the rule banning BUMP STOCKS with a mandated comment period. We will BAN all devices that turn legal weapons into illegal machine guns.",23-Mar
News conference at the White House concerning the Omnibus Spending Bill.  1:00 P.M.,23-Mar
"I am considering a VETO of the Omnibus Spending Bill based on the fact that the 800,000 plus DACA recipients have been totally abandoned by the Democrats (not even mentioned in Bill) and the BORDER WALL, which is desperately needed for our National Defense, is not fully funded.",23-Mar
DACA was abandoned by the Democrats. Very unfair to them! Would have been tied to desperately needed Wall.,23-Mar
House Intelligence Committee votes to release final report. FINDINGS: (1) No evidence provided of Collusion between Trump Campaign & Russia. (2)  The Obama Administrations Post election response was insufficient. (3) Clapper provided inconsistent testimony on media contacts.,23-Mar
"I am pleased to announce that, effective 4/9/18, @AmbJohnBolton will be my new National Security Advisor. I am very thankful for the service of General H.R. McMaster who has done an outstanding job & will always remain my friend. There will be an official contact handover on 4/9.",22-Mar
My honor Charlie - thank you! #MAGA,22-Mar
"As a candidate, I pledged that if elected I would use every lawful tool to combat unfair trade, protect American workers, and defend our national security.  Today, we took another critical step to fulfill that commitment. http://45.wh.gov/Section301 ",22-Mar
Greetings from @WhiteHouse,22-Mar
"Remember when they were saying, during the campaign, that Donald Trump is giving great speeches and drawing big crowds, but he is spending much less money and not using social media as well as Crooked Hillaryâ€™s large and highly sophisticated staff. Well, not saying that anymore!",22-Mar
"Crazy Joe Biden is trying to act like a tough guy. Actually, he is weak, both mentally and physically, and yet he threatens me, for the second time, with physical assault. He doesnâ€™t know me, but he would go down fast and hard, crying all the way. Donâ€™t threaten people Joe!",22-Mar
"Democrats refused to take care of DACA. Would have been so easy, but they just didnâ€™t care. I had to fight for Military and start of Wall.",21-Mar
